route_id,service_id,trip_id,trip_departure_time,trip_arrival_time,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
SGAB,domingo,hacia_sangabriel_domingo_20:30:00,20:30:00,21:50:00,San Gabriel,,1,hacia_sangabriel,1,2
SGAB,domingo,hacia_sangabriel_domingo_22:30:00,22:30:00,23:50:00,San Gabriel,,1,hacia_sangabriel,1,2
ACOS,entresemana,desde_acosta_entresemana_04:00:00,04:00:00,5:20:00,San José,,0,desde_acosta,1,2
ACOS,entresemana,desde_sanluis_entresemana_04:15:00,04:15:00,5:35:00,San José,,0,desde_sanluis,1,2
ACOS,entresemana,desde_sanluis_entresemana_05:00:00,05:00:00,6:20:00,San José,,0,desde_sanluis,1,2
ACOS,entresemana,desde_jorco_entresemana_05:10:00,05:10:00,6:30:00,San José,,0,desde_jorco,1,2
ACOS,entresemana,desde_sanluis_entresemana_05:15:00,05:15:00,6:35:00,San José,,0,desde_sanluis,1,2
ACOS,entresemana,desde_jorco_entresemana_05:35:00,05:35:00,6:55:00,San José,,0,desde_jorco,1,2
ACOS,entresemana,desde_sanluis_entresemana_05:45:00,05:45:00,7:05:00,San José,,0,desde_sanluis,1,2
ACOS,entresemana,desde_acosta_entresemana_06:15:00,06:15:00,7:35:00,San José,,0,desde_acosta,1,2
ACOS,entresemana,desde_jorco_entresemana_06:15:00,06:15:00,7:35:00,San José,,0,desde_jorco,1,2
ACOS,entresemana,desde_sanluis_entresemana_06:30:00,06:30:00,7:50:00,San José,,0,desde_sanluis,1,2
ACOS,entresemana,desde_acosta_entresemana_06:45:00,06:45:00,8:05:00,San José,,0,desde_acosta,1,2
ACOS,entresemana,desde_sanluis_entresemana_07:30:00,07:30:00,8:50:00,San José,,0,desde_sanluis,1,2
ACOS,entresemana,desde_sanluis_entresemana_08:00:00,08:00:00,9:20:00,San José,,0,desde_sanluis,1,2
ACOS,entresemana,desde_acosta_entresemana_08:30:00,08:30:00,9:50:00,San José,,0,desde_acosta,1,2
ACOS,entresemana,desde_acosta_entresemana_09:30:00,09:30:00,10:50:00,San José,,0,desde_acosta,1,2
ACOS,entresemana,desde_sanluis_entresemana_10:00:00,10:00:00,11:20:00,San José,,0,desde_sanluis,1,2
ACOS,entresemana,desde_acosta_entresemana_10:40:00,10:40:00,12:00:00,San José,,0,desde_acosta,1,2
ACOS,entresemana,desde_acosta_entresemana_11:30:00,11:30:00,12:50:00,San José,,0,desde_acosta,1,2
ACOS,entresemana,desde_sanluis_entresemana_12:15:00,12:15:00,13:35:00,San José,,0,desde_sanluis,1,2
ACOS,entresemana,desde_sanluis_entresemana_14:15:00,14:15:00,15:35:00,San José,,0,desde_sanluis,1,2
ACOS,entresemana,desde_acosta_entresemana_14:45:00,14:45:00,16:05:00,San José,,0,desde_acosta,1,2
ACOS,entresemana,desde_acosta_entresemana_15:45:00,15:45:00,17:05:00,San José,,0,desde_acosta,1,2
ACOS,entresemana,desde_sanluis_entresemana_16:15:00,16:15:00,17:35:00,San José,,0,desde_sanluis,1,2
ACOS,entresemana,desde_sanluis_entresemana_17:30:00,17:30:00,18:50:00,San José,,0,desde_sanluis,1,2
