stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
SI_1_02,,,,1.0101,2.0202,,,,,,
SI_1_03,,,,1.0101,2.0202,,,,,,
SI_1_04,,,,1.0101,2.0202,,,,,,
...,,,,1.0101,2.0202,,,,,,
SL,,Terminal de Transportes San Gabriel,"Barrio María Auxiliadora, San Luis de Acosta",1.0101,2.0202,,,,,,
SL_0_01,,,,1.0101,2.0202,,,,,,
SL_0_02,,,,1.0101,2.0202,,,,,,
SL_0_03,,,,1.0101,2.0202,,,,,,
SL_0_04,,,,1.0101,2.0202,,,,,,
...,,,,1.0101,2.0202,,,,,,
SL_1_01,,,,1.0101,2.0202,,,,,,
SL_1_02,,,,1.0101,2.0202,,,,,,
SL_1_03,,,,1.0101,2.0202,,,,,,
SL_1_04,,,,1.0101,2.0202,,,,,,
...,,,,1.0101,2.0202,,,,,,
TU,,Terminal de Turrujal,,1.0101,2.0202,,,,,,
TU_0_01,,,,1.0101,2.0202,,,,,,
TU_0_02,,,,1.0101,2.0202,,,,,,
TU_0_03,,,,1.0101,2.0202,,,,,,
TU_0_04,,,,1.0101,2.0202,,,,,,
...,,,,1.0101,2.0202,,,,,,
TU_1_01,,,,1.0101,2.0202,,,,,,
TU_1_02,,,,1.0101,2.0202,,,,,,
TU_1_03,,,,1.0101,2.0202,,,,,,
TU_1_04,,,,1.0101,2.0202,,,,,,
