trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
hacia_sangabriel_entresemana_20:30:00,21:55:00,21:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_entresemana_22:30:00,22:30:00,22:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_entresemana_22:30:00,23:45:00,23:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_entresemana_22:30:00,23:55:00,23:55:00,LM_1_07,3,,0,0,,0
desde_sangabriel_sabado_04:15:00,04:15:00,04:15:00,SG_0_00,1,,0,0,,1
desde_sangabriel_sabado_04:15:00,04:40:00,04:40:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_sabado_04:15:00,05:30:00,05:30:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_sabado_05:15:00,05:15:00,05:15:00,SG_0_00,1,,0,0,,1
desde_sangabriel_sabado_05:15:00,05:40:00,05:40:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_sabado_05:15:00,06:30:00,06:30:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_sabado_06:15:00,06:15:00,06:15:00,SG_0_00,1,,0,0,,1
desde_sangabriel_sabado_06:15:00,06:40:00,06:40:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_sabado_06:15:00,07:30:00,07:30:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_sabado_07:00:00,07:00:00,07:00:00,SG_0_00,1,,0,0,,1
desde_sangabriel_sabado_07:00:00,07:25:00,07:25:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_sabado_07:00:00,08:15:00,08:15:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_sabado_07:45:00,07:45:00,07:45:00,SG_0_00,1,,0,0,,1
desde_sangabriel_sabado_07:45:00,08:10:00,08:10:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_sabado_07:45:00,09:00:00,09:00:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_sabado_08:45:00,08:45:00,08:45:00,SG_0_00,1,,0,0,,1
desde_sangabriel_sabado_08:45:00,09:10:00,09:10:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_sabado_08:45:00,10:00:00,10:00:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_sabado_09:30:00,09:30:00,09:30:00,SG_0_00,1,,0,0,,1
desde_sangabriel_sabado_09:30:00,09:55:00,09:55:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_sabado_09:30:00,10:45:00,10:45:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_sabado_10:15:00,10:15:00,10:15:00,SG_0_00,1,,0,0,,1
desde_sangabriel_sabado_10:15:00,10:40:00,10:40:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_sabado_10:15:00,11:30:00,11:30:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_sabado_11:45:00,11:45:00,11:45:00,SG_0_00,1,,0,0,,1
desde_sangabriel_sabado_11:45:00,12:10:00,12:10:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_sabado_11:45:00,13:00:00,13:00:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_sabado_12:00:00,12:00:00,12:00:00,SG_0_00,1,,0,0,,1
desde_sangabriel_sabado_12:00:00,12:25:00,12:25:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_sabado_12:00:00,13:15:00,13:15:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_sabado_14:00:00,14:00:00,14:00:00,SG_0_00,1,,0,0,,1
desde_sangabriel_sabado_14:00:00,14:25:00,14:25:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_sabado_14:00:00,15:15:00,15:15:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_sabado_16:00:00,16:00:00,16:00:00,SG_0_00,1,,0,0,,1
desde_sangabriel_sabado_16:00:00,16:25:00,16:25:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_sabado_16:00:00,17:15:00,17:15:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_sabado_17:00:00,17:00:00,17:00:00,SG_0_00,1,,0,0,,1
desde_sangabriel_sabado_17:00:00,17:25:00,17:25:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_sabado_17:00:00,18:15:00,18:15:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_sabado_18:30:00,18:30:00,18:30:00,SG_0_00,1,,0,0,,1
desde_sangabriel_sabado_18:30:00,18:55:00,18:55:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_sabado_18:30:00,19:45:00,19:45:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_sabado_20:00:00,20:00:00,20:00:00,SG_0_00,1,,0,0,,1
desde_sangabriel_sabado_20:00:00,20:25:00,20:25:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_sabado_20:00:00,21:15:00,21:15:00,SJ_0_48,3,,0,0,,0
hacia_sangabriel_sabado_06:00:00,06:00:00,06:00:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_sabado_06:00:00,07:15:00,07:15:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_sabado_06:00:00,07:25:00,07:25:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_sabado_06:30:00,06:30:00,06:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_sabado_06:30:00,07:45:00,07:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_sabado_06:30:00,07:55:00,07:55:00,LM_1_07,3,,0,0,,0
