route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
ACOS,entresemana,desde_sanluis_entresemana_05:15:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,entresemana,desde_sanluis_entresemana_05:30:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,entresemana,desde_sanluis_entresemana_06:25:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,entresemana,desde_sanluis_entresemana_07:15:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,entresemana,desde_sanluis_entresemana_07:45:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,entresemana,desde_sanluis_entresemana_09:45:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,entresemana,desde_sanluis_entresemana_11:45:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,entresemana,desde_sanluis_entresemana_13:45:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,entresemana,desde_sanluis_entresemana_15:45:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,entresemana,desde_sanluis_entresemana_17:15:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,entresemana,desde_sanluis_entresemana_18:15:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,entresemana,desde_sanluis_entresemana_20:15:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_05:30:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_06:00:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_07:00:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_07:30:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_09:30:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_11:30:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_12:00:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_13:00:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_13:30:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_14:00:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_14:20:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_15:00:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_15:20:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_15:45:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_16:00:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_16:15:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_16:45:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_17:00:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_17:15:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_17:45:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_18:00:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_18:15:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_18:45:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_19:00:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_19:30:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_20:30:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,entresemana,hacia_sanluis_entresemana_22:30:00,San José > San Luis,,1,hacia_sanluis,,1
ACOS,sabado,desde_sanluis_sabado_04:05:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,sabado,desde_sanluis_sabado_04:20:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,sabado,desde_sanluis_sabado_05:15:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,sabado,desde_sanluis_sabado_06:15:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,sabado,desde_sanluis_sabado_07:15:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,sabado,desde_sanluis_sabado_09:15:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,sabado,desde_sanluis_sabado_11:15:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,sabado,desde_sanluis_sabado_13:15:00,San Luis > San José,,0,desde_sanluis,,1
ACOS,sabado,desde_sanluis_sabado_15:15:00,San Luis > San José,,0,desde_sanluis,,1
