trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
desde_sanluis_entresemana_12:00:00,12:00:00,12:00:00,SI,1,,0,0,1,1,,1
desde_sanluis_entresemana_14:00:00,14:00:00,14:00:00,SI,1,,0,0,1,1,,1
desde_sanluis_entresemana_16:00:00,16:00:00,16:00:00,SI,1,,0,0,1,1,,1
desde_sanluis_entresemana_17:30:00,17:30:00,17:30:00,SI,1,,0,0,1,1,,1
desde_sanluis_entresemana_18:30:00,18:30:00,18:30:00,SI,1,,0,0,1,1,,1
desde_sanluis_entresemana_20:30:00,20:30:00,20:30:00,SI,1,,0,0,1,1,,1
hacia_sanluis_entresemana_05:30:00,05:30:00,05:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_entresemana_07:30:00,07:30:00,07:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_entresemana_09:30:00,09:30:00,09:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_entresemana_11:30:00,11:30:00,11:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_entresemana_13:30:00,13:30:00,13:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_entresemana_14:05:00,14:05:00,14:05:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_entresemana_15:05:00,15:05:00,15:05:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_entresemana_15:45:00,15:45:00,15:45:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_entresemana_16:15:00,16:15:00,16:15:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_entresemana_16:45:00,16:45:00,16:45:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_entresemana_17:00:00,17:00:00,17:00:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_entresemana_17:15:00,17:15:00,17:15:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_entresemana_17:45:00,17:45:00,17:45:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_entresemana_18:05:00,18:05:00,18:05:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_entresemana_19:30:00,19:30:00,19:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_entresemana_20:30:00,20:30:00,20:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_entresemana_22:30:00,22:30:00,22:30:00,SJ,1,,0,0,1,1,,1
desde_sanluis_sabado_04:30:00,04:30:00,04:30:00,SI,1,,0,0,1,1,,1
desde_sanluis_sabado_05:30:00,05:30:00,05:30:00,SI,1,,0,0,1,1,,1
desde_sanluis_sabado_06:30:00,06:30:00,06:30:00,SI,1,,0,0,1,1,,1
desde_sanluis_sabado_07:30:00,07:30:00,07:30:00,SI,1,,0,0,1,1,,1
desde_sanluis_sabado_09:30:00,09:30:00,09:30:00,SI,1,,0,0,1,1,,1
desde_sanluis_sabado_11:30:00,11:30:00,11:30:00,SI,1,,0,0,1,1,,1
desde_sanluis_sabado_13:30:00,13:30:00,13:30:00,SI,1,,0,0,1,1,,1
desde_sanluis_sabado_16:00:00,16:00:00,16:00:00,SI,1,,0,0,1,1,,1
desde_sanluis_sabado_18:30:00,18:30:00,18:30:00,SI,1,,0,0,1,1,,1
desde_sanluis_sabado_20:30:00,20:30:00,20:30:00,SI,1,,0,0,1,1,,1
hacia_sanluis_sabado_06:30:00,06:30:00,06:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_sabado_08:30:00,08:30:00,08:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_sabado_10:30:00,10:30:00,10:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_sabado_12:30:00,12:30:00,12:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_sabado_14:30:00,14:30:00,14:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_sabado_16:15:00,16:15:00,16:15:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_sabado_17:15:00,17:15:00,17:15:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_sabado_18:30:00,18:30:00,18:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_sabado_20:30:00,20:30:00,20:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_sabado_22:30:00,22:30:00,22:30:00,SJ,1,,0,0,1,1,,1
desde_sanluis_domingo_04:30:00,04:30:00,04:30:00,SI,1,,0,0,1,1,,1
desde_sanluis_domingo_06:30:00,06:30:00,06:30:00,SI,1,,0,0,1,1,,1
desde_sanluis_domingo_09:00:00,09:00:00,09:00:00,SI,1,,0,0,1,1,,1
desde_sanluis_domingo_12:00:00,12:00:00,12:00:00,SI,1,,0,0,1,1,,1
desde_sanluis_domingo_15:00:00,15:00:00,15:00:00,SI,1,,0,0,1,1,,1
desde_sanluis_domingo_17:00:00,17:00:00,17:00:00,SI,1,,0,0,1,1,,1
desde_sanluis_domingo_18:00:00,18:00:00,18:00:00,SI,1,,0,0,1,1,,1
desde_sanluis_domingo_20:30:00,20:30:00,20:30:00,SI,1,,0,0,1,1,,1
hacia_sanluis_domingo_06:30:00,06:30:00,06:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_domingo_09:30:00,09:30:00,09:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_domingo_12:00:00,12:00:00,12:00:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_domingo_14:30:00,14:30:00,14:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_domingo_17:00:00,17:00:00,17:00:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_domingo_18:30:00,18:30:00,18:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_domingo_20:30:00,20:30:00,20:30:00,SJ,1,,0,0,1,1,,1
hacia_sanluis_domingo_22:30:00,22:30:00,22:30:00,SJ,1,,0,0,1,1,,1
desde_turrujal_entresemana_04:40:00,04:40:00,04:40:00,SI,1,,0,0,1,1,,1
desde_turrujal_entresemana_05:25:00,05:25:00,05:25:00,SI,1,,0,0,1,1,,1
desde_turrujal_entresemana_06:00:00,06:00:00,06:00:00,SI,1,,0,0,1,1,,1
desde_turrujal_entresemana_07:00:00,07:00:00,07:00:00,SI,1,,0,0,1,1,,1
desde_turrujal_entresemana_09:00:00,09:00:00,09:00:00,SI,1,,0,0,1,1,,1
desde_turrujal_entresemana_11:00:00,11:00:00,11:00:00,SI,1,,0,0,1,1,,1
desde_turrujal_entresemana_13:00:00,13:00:00,13:00:00,SI,1,,0,0,1,1,,1
desde_turrujal_entresemana_15:00:00,15:00:00,15:00:00,SI,1,,0,0,1,1,,1
desde_turrujal_entresemana_16:45:00,16:45:00,16:45:00,SI,1,,0,0,1,1,,1
desde_turrujal_entresemana_19:30:00,19:30:00,19:30:00,SI,1,,0,0,1,1,,1
hacia_turrujal_entresemana_06:30:00,06:30:00,06:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_entresemana_08:30:00,08:30:00,08:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_entresemana_10:30:00,10:30:00,10:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_entresemana_12:30:00,12:30:00,12:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_entresemana_14:30:00,14:30:00,14:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_entresemana_15:30:00,15:30:00,15:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_entresemana_16:30:00,16:30:00,16:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_entresemana_17:30:00,17:30:00,17:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_entresemana_18:30:00,18:30:00,18:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_entresemana_20:00:00,20:00:00,20:00:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_entresemana_21:30:00,21:30:00,21:30:00,SJ,1,,0,0,1,1,,1
desde_turrujal_sabado_05:00:00,05:00:00,05:00:00,SI,1,,0,0,1,1,,1
desde_turrujal_sabado_06:00:00,06:00:00,06:00:00,SI,1,,0,0,1,1,,1
desde_turrujal_sabado_07:00:00,07:00:00,07:00:00,SI,1,,0,0,1,1,,1
desde_turrujal_sabado_08:30:00,08:30:00,08:30:00,SI,1,,0,0,1,1,,1
desde_turrujal_sabado_10:30:00,10:30:00,10:30:00,SI,1,,0,0,1,1,,1
desde_turrujal_sabado_12:30:00,12:30:00,12:30:00,SI,1,,0,0,1,1,,1
desde_turrujal_sabado_14:30:00,14:30:00,14:30:00,SI,1,,0,0,1,1,,1
desde_turrujal_sabado_17:30:00,17:30:00,17:30:00,SI,1,,0,0,1,1,,1
desde_turrujal_sabado_19:30:00,19:30:00,19:30:00,SI,1,,0,0,1,1,,1
hacia_turrujal_sabado_07:30:00,07:30:00,07:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_sabado_09:30:00,09:30:00,09:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_sabado_11:30:00,11:30:00,11:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_sabado_13:30:00,13:30:00,13:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_sabado_15:30:00,15:30:00,15:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_sabado_16:45:00,16:45:00,16:45:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_sabado_17:45:00,17:45:00,17:45:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_sabado_19:30:00,19:30:00,19:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_sabado_21:30:00,21:30:00,21:30:00,SJ,1,,0,0,1,1,,1
desde_turrujal_domingo_05:30:00,05:30:00,05:30:00,SI,1,,0,0,1,1,,1
desde_turrujal_domingo_07:30:00,07:30:00,07:30:00,SI,1,,0,0,1,1,,1
desde_turrujal_domingo_10:30:00,10:30:00,10:30:00,SI,1,,0,0,1,1,,1
desde_turrujal_domingo_13:30:00,13:30:00,13:30:00,SI,1,,0,0,1,1,,1
desde_turrujal_domingo_16:00:00,16:00:00,16:00:00,SI,1,,0,0,1,1,,1
desde_turrujal_domingo_19:30:00,19:30:00,19:30:00,SI,1,,0,0,1,1,,1
hacia_turrujal_domingo_08:00:00,08:00:00,08:00:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_domingo_10:30:00,10:30:00,10:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_domingo_13:30:00,13:30:00,13:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_domingo_15:45:00,15:45:00,15:45:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_domingo_19:30:00,19:30:00,19:30:00,SJ,1,,0,0,1,1,,1
hacia_turrujal_domingo_21:30:00,21:30:00,21:30:00,SJ,1,,0,0,1,1,,1
